time,direction,vehicle
2025-09-25 17:17:12,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,bus
2025-09-25 17:17:13,North,bus
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,truck
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:13,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,bus
2025-09-25 17:17:14,North,bus
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,truck
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:14,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,bus
2025-09-25 17:17:16,North,bus
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,truck
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:16,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,bus
2025-09-25 17:17:17,North,bus
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,truck
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:17,North,car
2025-09-25 17:17:18,East,truck
2025-09-25 17:17:18,East,car
2025-09-25 17:17:18,East,motorbike
2025-09-25 17:17:18,East,bus
2025-09-25 17:17:18,East,bus
2025-09-25 17:17:18,East,bus
2025-09-25 17:17:18,East,car
2025-09-25 17:17:18,East,motorbike
2025-09-25 17:17:18,East,motorbike
2025-09-25 17:17:18,East,motorbike
2025-09-25 17:17:18,East,motorbike
2025-09-25 17:17:18,East,motorbike
2025-09-25 17:17:19,East,truck
2025-09-25 17:17:19,East,bus
2025-09-25 17:17:19,East,car
2025-09-25 17:17:19,East,motorbike
2025-09-25 17:17:19,East,bus
2025-09-25 17:17:19,East,bus
2025-09-25 17:17:19,East,car
2025-09-25 17:17:19,East,motorbike
2025-09-25 17:17:19,East,motorbike
2025-09-25 17:17:19,East,motorbike
2025-09-25 17:17:19,East,motorbike
2025-09-25 17:17:19,East,motorbike
2025-09-25 17:17:20,East,truck
2025-09-25 17:17:20,East,bus
2025-09-25 17:17:20,East,car
2025-09-25 17:17:20,East,motorbike
2025-09-25 17:17:20,East,bus
2025-09-25 17:17:20,East,bus
2025-09-25 17:17:20,East,car
2025-09-25 17:17:20,East,motorbike
2025-09-25 17:17:20,East,motorbike
2025-09-25 17:17:20,East,motorbike
2025-09-25 17:17:20,East,motorbike
2025-09-25 17:17:20,East,motorbike
2025-09-25 17:17:21,East,truck
2025-09-25 17:17:21,East,bus
2025-09-25 17:17:21,East,bus
2025-09-25 17:17:21,East,car
2025-09-25 17:17:21,East,motorbike
2025-09-25 17:17:21,East,bus
2025-09-25 17:17:21,East,car
2025-09-25 17:17:21,East,motorbike
2025-09-25 17:17:21,East,motorbike
2025-09-25 17:17:21,East,motorbike
2025-09-25 17:17:21,East,motorbike
2025-09-25 17:17:22,East,truck
2025-09-25 17:17:22,East,bus
2025-09-25 17:17:22,East,car
2025-09-25 17:17:22,East,motorbike
2025-09-25 17:17:22,East,bus
